,feature,coefficient
1168,great,5.217074251535162
754,different,-4.364728716380092
1158,good,4.105689645251992
1727,needed,3.9798903363421694
1906,perfect,3.3740940932703514
2432,slow,-3.1130901022793696
2930,well,2.6012915913785943
2626,take,-2.550430112635673
1959,plugged,-2.4145727449322054
2927,week,-2.3474714040469955
2470,something,-2.298905535848429
988,far,2.2270667337663705
2395,side,-2.2094574891929337
1545,love,2.200825440231631
2954,wire,-2.199888763651722
